1;0;;;1;0
5001; 0.2499;;;5001; 0.2499
10001; 0.24995;;;10001; 0.24995
15001; 0.249967;;;15001; 0.249967
20001; 0.249975;;;20001; 0.249975
25001; 0.24998;;;25001; 0.24998
30001; 0.249983;;;30001; 0.249983
35001; 0.249986;;;35001; 0.249986
40001; 0.249988;;;40001; 0.249988
45001; 0.249989;;;45001; 0.249989
50001; 0.24999;;;50001; 0.24999
55001; 0.249991;;;55001; 0.249991
60001; 0.249992;;;60001; 0.249992
65001; 0.249992;;;65001; 0.249992
70001; 0.249993;;;70001; 0.249993
75001; 0.249993;;;75001; 0.249993
80001; 0.249994;;;80001; 0.249994
85001; 0.249994;;;85001; 0.249994
90001; 0.249994;;;90001; 0.249994
95001; 0.249995;;;95001; 0.249995
100001; 0.249995;;;100001; 0.249995
105001; 0.249995;;;105001; 0.249995
110001; 0.249995;;;110001; 0.249995
115001; 0.249996;;;115001; 0.249996
120001; 0.249996;;;120001; 0.249996
125001; 0.249996;;;125001; 0.249996
130001; 0.249996;;;130001; 0.249996
135001; 0.249996;;;135001; 0.249996
140001; 0.249996;;;140001; 0.249996
145001; 0.249997;;;145001; 0.249997
150001; 0.249997;;;150001; 0.249997
155001; 0.249997;;;155001; 0.249997
160001; 0.249997;;;160001; 0.249997
165001; 0.249997;;;165001; 0.249997
170001; 0.249997;;;170001; 0.249997
175001; 0.249997;;;175001; 0.249997
180001; 0.249997;;;180001; 0.249997
185001; 0.249997;;;185001; 0.249997
190001; 0.249997;;;190001; 0.249997
195001; 0.249997;;;195001; 0.249997
200001; 0.249998;;;200001; 0.249998
205001; 0.249998;;;205001; 0.249998
210001; 0.249998;;;210001; 0.249998
215001; 0.249998;;;215001; 0.249998
220001; 0.249998;;;220001; 0.249998
225001; 0.249998;;;225001; 0.249998
230001; 0.249998;;;230001; 0.249998
235001; 0.249998;;;235001; 0.249998
240001; 0.249998;;;240001; 0.249998
245001; 0.249998;;;245001; 0.249998
250001; 0.249998;;;250001; 0.249998
255001; 0.249998;;;255001; 0.249998
260001; 0.249998;;;260001; 0.249998
265001; 0.249998;;;265001; 0.249998
270001; 0.249998;;;270001; 0.249998
275001; 0.249998;;;275001; 0.249998
280001; 0.249998;;;280001; 0.249998
285001; 0.249998;;;285001; 0.249998
290001; 0.249998;;;290001; 0.249998
295001; 0.249998;;;295001; 0.249998
300001; 0.249998;;;300001; 0.249998
305001; 0.249998;;;305001; 0.249998
310001; 0.249998;;;310001; 0.249998
315001; 0.249998;;;315001; 0.249998
320001; 0.249998;;;320001; 0.249998
325001; 0.249998;;;325001; 0.249998
330001; 0.249998;;;330001; 0.249998
335001; 0.249999;;;335001; 0.249999
